,,,,,,,,,,,
,Wholesaler ID,Date of Purchase,Month,Product Type,Capacity (ml),Quantity Purchased,ZIP,City,Manager ID,Manager Name,Q3 - 2020 Goals
,R00049,1/7/2020,1/31/2020,Pulp Orange 500ml,500ml,24,83105839,Coimbatore ,10019,Kirti S,"160,000"
,R00007,1/8/2020,1/31/2020,Pulp Orange 500ml,500ml,90,24394791,Mumbai,10017,Vishwa P,"190,000"
,R00014,1/8/2020,1/31/2020,Pulp Orange 500ml,500ml,86,36000198,Durgapur ,10014,Taran S,"170,000"
,R00015,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,78,36450915,Gangtok,10015,Rahul S,"235,000"
,R00017,1/8/2020,1/31/2020,Pulp Orange 2000ml,2000ml,37,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00018,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,89,39058313,Chennai ,10018,Ankit J,"180,000"
,R00018,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,77,39058313,Chennai ,10018,Ankit J,"180,000"
,R00020,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,23,40300001,Hyderabad,10020,Abhishek S,"250,000"
,R00029,1/8/2020,1/31/2020,Pulp Orange 1000ml,1000ml,54,57039712,Coimbatore ,10019,Kirti S,"160,000"
,R00035,1/8/2020,1/31/2020,Pulp Orange 500ml,500ml,46,64105993,Gangtok,10015,Rahul S,"235,000"
,R00035,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,17,64105993,Gangtok,10015,Rahul S,"235,000"
,R00038,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,76,70003873,Chennai ,10018,Ankit J,"180,000"
,R00038,1/8/2020,1/31/2020,Pulp Orange 2000ml,2000ml,105,70003873,Chennai ,10018,Ankit J,"180,000"
,R00041,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,84,73401300,Agra,10011,Rakesh S,"170,000"
,R00041,1/8/2020,1/31/2020,Pulp Orange 2000ml,2000ml,19,73401300,Agra,10011,Rakesh S,"170,000"
,R00044,1/8/2020,1/31/2020,Pulp Orange 1000ml,1000ml,18,75200141,Durgapur ,10014,Taran S,"170,000"
,R00044,1/8/2020,1/31/2020,Pulp Orange 1000ml,1000ml,117,75200141,Durgapur ,10014,Taran S,"170,000"
,R00045,1/8/2020,1/31/2020,Pulp Orange 2000ml,2000ml,31,76901001,Gangtok,10015,Rahul S,"235,000"
,R00045,1/8/2020,1/31/2020,Pulp Orange 1000ml,1000ml,23,76901001,Gangtok,10015,Rahul S,"235,000"
,R00046,1/8/2020,1/31/2020,Pulp Orange 500ml,500ml,35,78140921,Goa,10016,Kirti S,"145,000"
,R00050,1/8/2020,1/31/2020,Pulp Orange 250ml,250ml,46,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00014,1/9/2020,1/31/2020,Pulp Orange 2000ml,2000ml,40,36000198,Durgapur ,10014,Taran S,"170,000"
,R00021,1/9/2020,1/31/2020,Pulp Orange 250ml,250ml,93,40341999,Agra,10011,Rakesh S,"170,000"
,R00022,1/9/2020,1/31/2020,Pulp Orange 500ml,500ml,104,41145792,Amritsar,10012,Kalpana K,"200,000"
,R00030,1/9/2020,1/31/2020,Pulp Orange 2000ml,2000ml,92,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00030,1/9/2020,1/31/2020,Pulp Orange 250ml,250ml,44,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00035,1/9/2020,1/31/2020,Pulp Orange 250ml,250ml,118,64105993,Gangtok,10015,Rahul S,"235,000"
,R00039,1/9/2020,1/31/2020,Pulp Orange 1000ml,1000ml,64,71321390,Coimbatore ,10019,Kirti S,"160,000"
,R00040,1/9/2020,1/31/2020,Pulp Orange 500ml,500ml,16,71330131,Hyderabad,10020,Abhishek S,"250,000"
,R00040,1/9/2020,1/31/2020,Pulp Orange 1000ml,1000ml,24,71330131,Hyderabad,10020,Abhishek S,"250,000"
,R00041,1/9/2020,1/31/2020,Pulp Orange 500ml,500ml,71,73401300,Agra,10011,Rakesh S,"170,000"
,R00043,1/9/2020,1/31/2020,Pulp Orange 250ml,250ml,32,75109301,Chandigarh,10013,Ram S,"225,000"
,R00046,1/9/2020,1/31/2020,Pulp Orange 500ml,500ml,82,78140921,Goa,10016,Kirti S,"145,000"
,R00047,1/9/2020,1/31/2020,Pulp Orange 250ml,250ml,96,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00048,1/9/2020,1/31/2020,Pulp Orange 500ml,500ml,74,80002547,Chennai ,10018,Ankit J,"180,000"
,R00002,1/10/2020,1/31/2020,Pulp Orange 2000ml,2000ml,66,14793702,Amritsar,10012,Kalpana K,"200,000"
,R00012,1/10/2020,1/31/2020,Pulp Orange 1000ml,1000ml,46,30257831,Amritsar,10012,Kalpana K,"200,000"
,R00014,1/10/2020,1/31/2020,Pulp Orange 1000ml,1000ml,220,36000198,Durgapur ,10014,Taran S,"170,000"
,R00017,1/10/2020,1/31/2020,Pulp Orange 1000ml,1000ml,50,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00022,1/10/2020,1/31/2020,Pulp Orange 500ml,500ml,16,41145792,Amritsar,10012,Kalpana K,"200,000"
,R00032,1/10/2020,1/31/2020,Pulp Orange 250ml,250ml,28,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00042,1/10/2020,1/31/2020,Pulp Orange 500ml,500ml,79,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00042,1/10/2020,1/31/2020,Pulp Orange 1000ml,1000ml,97,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00046,1/10/2020,1/31/2020,Pulp Orange 2000ml,2000ml,78,78140921,Goa,10016,Kirti S,"145,000"
,R00047,1/10/2020,1/31/2020,Pulp Orange 1000ml,1000ml,46,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00015,1/11/2020,1/31/2020,Pulp Orange 250ml,250ml,104,36450915,Gangtok,10015,Rahul S,"235,000"
,R00021,1/11/2020,1/31/2020,Pulp Orange 250ml,250ml,50,40341999,Agra,10011,Rakesh S,"170,000"
,R00030,1/11/2020,1/31/2020,Pulp Orange 1000ml,1000ml,71,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00039,1/11/2020,1/31/2020,Pulp Orange 250ml,250ml,77,71321390,Coimbatore ,10019,Kirti S,"160,000"
,R00042,1/11/2020,1/31/2020,Pulp Orange 2000ml,2000ml,27,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00043,1/11/2020,1/31/2020,Pulp Orange 1000ml,1000ml,58,75109301,Chandigarh,10013,Ram S,"225,000"
,R00044,1/11/2020,1/31/2020,Pulp Orange 500ml,500ml,14,75200141,Durgapur ,10014,Taran S,"170,000"
,R00049,1/11/2020,1/31/2020,Pulp Orange 250ml,250ml,36,83105839,Coimbatore ,10019,Kirti S,"160,000"
,R00003,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,96,16004529,Chandigarh,10013,Ram S,"225,000"
,R00015,1/12/2020,1/31/2020,Pulp Orange 250ml,250ml,76,36450915,Gangtok,10015,Rahul S,"235,000"
,R00015,1/12/2020,1/31/2020,Pulp Orange 500ml,500ml,103,36450915,Gangtok,10015,Rahul S,"235,000"
,R00016,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,15,38041001,Goa,10016,Kirti S,"145,000"
,R00016,1/12/2020,1/31/2020,Pulp Orange 500ml,500ml,57,38041001,Goa,10016,Kirti S,"145,000"
,R00030,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,97,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00030,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,23,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00031,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,25,60000111,Agra,10011,Rakesh S,"170,000"
,R00038,1/12/2020,1/31/2020,Pulp Orange 1000ml,1000ml,25,70003873,Chennai ,10018,Ankit J,"180,000"
,R00039,1/12/2020,1/31/2020,Pulp Orange 500ml,500ml,91,71321390,Coimbatore ,10019,Kirti S,"160,000"
,R00043,1/12/2020,1/31/2020,Pulp Orange 500ml,500ml,92,75109301,Chandigarh,10013,Ram S,"225,000"
,R00045,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,51,76901001,Gangtok,10015,Rahul S,"235,000"
,R00045,1/12/2020,1/31/2020,Pulp Orange 250ml,250ml,48,76901001,Gangtok,10015,Rahul S,"235,000"
,R00047,1/12/2020,1/31/2020,Pulp Orange 2000ml,2000ml,93,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00047,1/12/2020,1/31/2020,Pulp Orange 250ml,250ml,56,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00048,1/12/2020,1/31/2020,Pulp Orange 500ml,500ml,101,80002547,Chennai ,10018,Ankit J,"180,000"
,R00050,1/12/2020,1/31/2020,Pulp Orange 250ml,250ml,114,83401402,Hyderabad,10020,Abhishek S,"250,000"
,R00003,1/13/2020,1/31/2020,Pulp Orange 2000ml,2000ml,110,16004529,Chandigarh,10013,Ram S,"225,000"
,R00007,1/13/2020,1/31/2020,Pulp Orange 1000ml,1000ml,38,24394791,Mumbai,10017,Vishwa P,"190,000"
,R00009,1/13/2020,1/31/2020,Pulp Orange 1000ml,1000ml,31,24987367,Coimbatore ,10019,Kirti S,"160,000"
,R00017,1/13/2020,1/31/2020,Pulp Orange 500ml,500ml,74,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00018,1/13/2020,1/31/2020,Pulp Orange 1000ml,1000ml,30,39058313,Chennai ,10018,Ankit J,"180,000"
,R00021,1/13/2020,1/31/2020,Pulp Orange 250ml,250ml,61,40341999,Agra,10011,Rakesh S,"170,000"
,R00026,1/13/2020,1/31/2020,Pulp Orange 1000ml,1000ml,10,52095731,Goa,10016,Kirti S,"145,000"
,R00029,1/13/2020,1/31/2020,Pulp Orange 1000ml,1000ml,32,57039712,Coimbatore ,10019,Kirti S,"160,000"
,R00040,1/13/2020,1/31/2020,Pulp Orange 2000ml,2000ml,90,71330131,Hyderabad,10020,Abhishek S,"250,000"
,R00010,1/14/2020,1/31/2020,Pulp Orange 1000ml,1000ml,97,26309001,Hyderabad,10020,Abhishek S,"250,000"
,R00010,1/14/2020,1/31/2020,Pulp Orange 500ml,500ml,111,26309001,Hyderabad,10020,Abhishek S,"250,000"
,R00015,1/14/2020,1/31/2020,Pulp Orange 1000ml,1000ml,60,36450915,Gangtok,10015,Rahul S,"235,000"
,R00016,1/14/2020,1/31/2020,Pulp Orange 2000ml,2000ml,85,38041001,Goa,10016,Kirti S,"145,000"
,R00023,1/14/2020,1/31/2020,Pulp Orange 2000ml,2000ml,107,42275901,Chandigarh,10013,Ram S,"225,000"
,R00026,1/14/2020,1/31/2020,Pulp Orange 500ml,500ml,87,52095731,Goa,10016,Kirti S,"145,000"
,R00027,1/14/2020,1/31/2020,Pulp Orange 1000ml,1000ml,86,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00030,1/14/2020,1/31/2020,Pulp Orange 1000ml,1000ml,64,57500219,Hyderabad,10020,Abhishek S,"250,000"
,R00031,1/14/2020,1/31/2020,Pulp Orange 500ml,500ml,97,60000111,Agra,10011,Rakesh S,"170,000"
,R00033,1/14/2020,1/31/2020,Pulp Orange 500ml,500ml,29,62047108,Chandigarh,10013,Ram S,"225,000"
,R00034,1/14/2020,1/31/2020,Pulp Orange 250ml,250ml,80,62503841,Durgapur ,10014,Taran S,"170,000"
,R00003,1/15/2020,1/31/2020,Pulp Orange 250ml,250ml,88,16004529,Chandigarh,10013,Ram S,"225,000"
,R00012,1/15/2020,1/31/2020,Pulp Orange 500ml,500ml,104,30257831,Amritsar,10012,Kalpana K,"200,000"
,R00025,1/15/2020,1/31/2020,Pulp Orange 2000ml,2000ml,14,51739701,Gangtok,10015,Rahul S,"235,000"
,R00027,1/15/2020,1/31/2020,Pulp Orange 2000ml,2000ml,500,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00037,1/15/2020,1/31/2020,Pulp Orange 250ml,250ml,109,68510841,Mumbai,10017,Vishwa P,"190,000"
,R00043,1/15/2020,1/31/2020,Pulp Orange 2000ml,2000ml,90,75109301,Chandigarh,10013,Ram S,"225,000"
,R00045,1/15/2020,1/31/2020,Pulp Orange 2000ml,2000ml,101,76901001,Gangtok,10015,Rahul S,"235,000"
,R00047,1/15/2020,1/31/2020,Pulp Orange 2000ml,2000ml,110,79300140,Mumbai,10017,Vishwa P,"190,000"
,R00012,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,88,30257831,Amritsar,10012,Kalpana K,"200,000"
,R00015,1/16/2020,1/31/2020,Pulp Orange 2000ml,2000ml,105,36450915,Gangtok,10015,Rahul S,"235,000"
,R00019,1/16/2020,1/31/2020,Pulp Orange 500ml,500ml,109,40002931,Coimbatore ,10019,Kirti S,"160,000"
,R00021,1/16/2020,1/31/2020,Pulp Orange 500ml,500ml,81,40341999,Agra,10011,Rakesh S,"170,000"
,R00022,1/16/2020,1/31/2020,Pulp Orange 1000ml,1000ml,91,41145792,Amritsar,10012,Kalpana K,"200,000"
,R00023,1/16/2020,1/31/2020,Pulp Orange 500ml,500ml,103,42275901,Chandigarh,10013,Ram S,"225,000"
,R00023,1/16/2020,1/31/2020,Pulp Orange 2000ml,2000ml,69,42275901,Chandigarh,10013,Ram S,"225,000"
,R00027,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,140,53046792,Mumbai,10017,Vishwa P,"190,000"
,R00032,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,109,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00032,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,33,60593792,Amritsar,10012,Kalpana K,"200,000"
,R00037,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,56,68510841,Mumbai,10017,Vishwa P,"190,000"
,R00039,1/16/2020,1/31/2020,Pulp Orange 250ml,250ml,78,71321390,Coimbatore ,10019,Kirti S,"160,000"
,R00044,1/16/2020,1/31/2020,Pulp Orange 1000ml,1000ml,98,75200141,Durgapur ,10014,Taran S,"170,000"
,R00046,1/16/2020,1/31/2020,Pulp Orange 2000ml,2000ml,49,78140921,Goa,10016,Kirti S,"145,000"
,R00046,1/16/2020,1/31/2020,Pulp Orange 500ml,500ml,90,78140921,Goa,10016,Kirti S,"145,000"
,R00002,1/17/2020,1/31/2020,Pulp Orange 1000ml,1000ml,51,14793702,Amritsar,10012,Kalpana K,"200,000"
,R00010,1/17/2020,1/31/2020,Pulp Orange 500ml,500ml,28,26309001,Hyderabad,10020,Abhishek S,"250,000"
,R00017,1/17/2020,1/31/2020,Pulp Orange 500ml,500ml,64,39010098,Mumbai,10017,Vishwa P,"190,000"
,R00024,1/17/2020,1/31/2020,Pulp Orange 1000ml,1000ml,97,50004672,Durgapur ,10014,Taran S,"170,000"
,R00026,1/17/2020,1/31/2020,Pulp Orange 500ml,500ml,101,52095731,Goa,10016,Kirti S,"145,000"
,R00036,1/17/2020,1/31/2020,Pulp Orange 500ml,500ml,13,68204232,Goa,10016,Kirti S,"145,000"
,R00038,1/17/2020,1/31/2020,Pulp Orange 1000ml,1000ml,101,70003873,Chennai ,10018,Ankit J,"180,000"
,R00042,1/17/2020,1/31/2020,Pulp Orange 500ml,500ml,87,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00013,1/18/2020,1/31/2020,Pulp Orange 2000ml,2000ml,105,31300589,Chandigarh,10013,Ram S,"225,000"
,R00014,1/18/2020,1/31/2020,Pulp Orange 2000ml,2000ml,46,36000198,Durgapur ,10014,Taran S,"170,000"
,R00016,1/18/2020,1/31/2020,Pulp Orange 1000ml,1000ml,91,38041001,Goa,10016,Kirti S,"145,000"
,R00018,1/18/2020,1/31/2020,Pulp Orange 500ml,500ml,119,39058313,Chennai ,10018,Ankit J,"180,000"
,R00019,1/18/2020,1/31/2020,Pulp Orange 500ml,500ml,89,40002931,Coimbatore ,10019,Kirti S,"160,000"
,R00021,1/18/2020,1/31/2020,Pulp Orange 1000ml,1000ml,8,40341999,Agra,10011,Rakesh S,"170,000"
,R00025,1/18/2020,1/31/2020,Pulp Orange 250ml,250ml,52,51739701,Gangtok,10015,Rahul S,"235,000"
,R00029,1/18/2020,1/31/2020,Pulp Orange 1000ml,1000ml,77,57039712,Coimbatore ,10019,Kirti S,"160,000"
,R00029,1/18/2020,1/31/2020,Pulp Orange 1000ml,1000ml,98,57039712,Coimbatore ,10019,Kirti S,"160,000"
,R00035,1/18/2020,1/31/2020,Pulp Orange 1000ml,1000ml,10,64105993,Gangtok,10015,Rahul S,"235,000"
,R00041,1/18/2020,1/31/2020,Pulp Orange 2000ml,2000ml,91,73401300,Agra,10011,Rakesh S,"170,000"
,R00042,1/18/2020,1/31/2020,Pulp Orange 500ml,500ml,70,73710945,Amritsar,10012,Kalpana K,"200,000"
,R00043,1/18/2020,1/31/2020,Pulp Orange 500ml,500ml,113,75109301,Chandigarh,10013,Ram S,"225,000"
,R00046,1/18/2020,1/31/2020,Pulp Orange 2000ml,2000ml,110,78140921,Goa,10016,Kirti S,"145,000"
,R00012,1/19/2020,1/31/2020,Pulp Orange 500ml,500ml,44,30257831,Amritsar,10012,Kalpana K,"200,000"
,R00014,1/19/2020,1/31/2020,Pulp Orange 1000ml,1000ml,39,36000198,Durgapur ,10014,Taran S,"170,000"
,R00016,1/19/2020,1/31/2020,Pulp Orange 250ml,250ml,73,38041001,Goa,10016,Kirti S,"145,000"
,R00025,1/19/2020,1/31/2020,Pulp Orange 500ml,500ml,69,51739701,Gangtok,10015,Rahul S,"235,000"
,R00025,1/19/2020,1/31/2020,Pulp Orange 2000ml,2000ml,112,51739701,Gangtok,10015,Rahul S,"235,000"
